TERM	CLASS	DEFINITION	DEFINITION (DARWIN CORE)	DESCRIPTION	DESCRIPTION (DARWIN CORE)	CONTENT	NOTES	CONTROLLED VOCABULARY	DECISION	REFINES	DECISION DATE	RECOMMENDATION NOTES	NAMESPACE	URI (DARWIN CORE)	URI	LABEL	DATA TYPE	SORT	ISSUED	UPDATED	post_author	post_date	post_content	post_title	post_status	post_name	post_type	identifier	class	definition	description	project	label	refines	status	date_issued	date_modified	version
county	Location	The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.	The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.	Examples: "Missoula", "Los Lagos", "Mataró"	Examples: "Missoula", "Los Lagos", "Mataró"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/county	http://rs.tdwg.org/dwc/terms/county	County	string	154	2015-05-06	2015-05-06	kenny	2015-05-06		county	publish	county	ethocore_term	http://rs.tdwg.org/dwc/terms/county	Location	The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.	Examples: "Missoula", "Los Lagos", "Mataró"	Darwin Core	County		recommended	2015-05-06	2015-05-06	county-2015-05-06
decimalLatitude	Location	The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.	The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.	Example: "-41.0983423"	Example: "-41.0983423"		we need to suggest a convention for Locations that have a non-point footprint -- possibilities include the geographic center of the polyline or polygon or the start or end coordinates for a polyline that includes temporal information		recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/decimalLatitude	http://rs.tdwg.org/dwc/terms/decimalLatitude	Decimal Latitude	number	168	2015-05-06	2015-05-06	kenny	2015-05-06		decimalLatitude	publish	decimalLatitude	ethocore_term	http://rs.tdwg.org/dwc/terms/decimalLatitude	Location	The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.	Example: "-41.0983423"	Darwin Core	Decimal Latitude		recommended	2015-05-06	2015-05-06	decimalLatitude-2015-05-06
decimalLongitude	Location	The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.	The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.	Example: "-121.1761111"	Example: "-121.1761111"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/decimalLongitude	http://rs.tdwg.org/dwc/terms/decimalLongitude	Decimal Longitude	number	169	2015-05-06	2015-05-06	kenny	2015-05-06		decimalLongitude	publish	decimalLongitude	ethocore_term	http://rs.tdwg.org/dwc/terms/decimalLongitude	Location	The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.	Example: "-121.1761111"	Darwin Core	Decimal Longitude		recommended	2015-05-06	2015-05-06	decimalLongitude-2015-05-06
footprintSpatialFit	Location	The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1.	The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1.	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/footprintSpatialFit	http://rs.tdwg.org/dwc/terms/footprintSpatialFit	Footprint Spatial Fit	string	184	2015-05-06	2015-05-06	kenny	2015-05-06		footprintSpatialFit	publish	footprintSpatialFit	ethocore_term	http://rs.tdwg.org/dwc/terms/footprintSpatialFit	Location	The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1.	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).	Darwin Core	Footprint Spatial Fit		recommended	2015-05-06	2015-05-06	footprintSpatialFit-2015-05-06
footprintSRS	Location	A representation of the Spatial Reference System (SRS) for the footprint of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprint - use the geodeticDatum instead.	A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.	Example: The WKT for the standard WGS84 SRS (EPSG:4326) is "GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]" without the enclosing quotes.	Example: The WKT for the standard WGS84 SRS (EPSG:4326) is "GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]" without the enclosing quotes.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/footprintSRS	http://rs.tdwg.org/dwc/terms/footprintSRS	Footprint SRS	string	183	2015-05-06	2015-05-06	kenny	2015-05-06		footprintSRS	publish	footprintSRS	ethocore_term	http://rs.tdwg.org/dwc/terms/footprintSRS	Location	A representation of the Spatial Reference System (SRS) for the footprint of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprint - use the geodeticDatum instead.	Example: The WKT for the standard WGS84 SRS (EPSG:4326) is "GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]" without the enclosing quotes.	Darwin Core	Footprint SRS		recommended	2015-05-06	2015-05-06	footprintSRS-2015-05-06
footprint	Location	A representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.		Example: the one-degree bounding box with opposite corners at (longitude=10, latitude=20) and (longitude=11, latitude=21) would be expressed in well-known text as POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))					recommended	http://rs.tdwg.org/dwc/terms/footprintWKT	3/31/2015	We wish to avoid specifying technology in the terms; which footprintWKT does.	Ethogrammar		http://ethoinformatics.org/ethocore/footprint	Footprint		182	2015-05-06	2015-05-06	kenny	2015-05-06		footprint	publish	footprint	ethocore_term	http://ethoinformatics.org/ethocore/footprint	Location	A representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.	Example: the one-degree bounding box with opposite corners at (longitude=10, latitude=20) and (longitude=11, latitude=21) would be expressed in well-known text as POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))	Ethogrammar	Footprint	http://rs.tdwg.org/dwc/terms/footprintWKT	recommended	2015-05-06	2015-05-06	footprint-2015-05-06
geodeticDatum	Location	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	Examples: "EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"	Examples: "EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"			EPSG code	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/geodeticDatum	http://rs.tdwg.org/dwc/terms/geodeticDatum	Geodetic Datum	string	170	2015-05-06	2015-05-06	kenny	2015-05-06		geodeticDatum	publish	geodeticDatum	ethocore_term	http://rs.tdwg.org/dwc/terms/geodeticDatum	Location	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	Examples: "EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"	Darwin Core	Geodetic Datum		recommended	2015-05-06	2015-05-06	geodeticDatum-2015-05-06
georeferencedBy	Location	A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.	A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.	Examples: "Kristina Yamamoto (MVZ); Janet Fang (MVZ)", "Brad Millen (ROM)"	Examples: "Kristina Yamamoto (MVZ); Janet Fang (MVZ)", "Brad Millen (ROM)"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/georeferencedBy	http://rs.tdwg.org/dwc/terms/georeferencedBy	Georeferenced By	string	186	2015-05-06	2015-05-06	kenny	2015-05-06		georeferencedBy	publish	georeferencedBy	ethocore_term	http://rs.tdwg.org/dwc/terms/georeferencedBy	Location	A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.	Examples: "Kristina Yamamoto (MVZ); Janet Fang (MVZ)", "Brad Millen (ROM)"	Darwin Core	Georeferenced By		recommended	2015-05-06	2015-05-06	georeferencedBy-2015-05-06
georeferencedDate	Location	The date on which the Location was georeferenced. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	The date on which the Location was georeferenced. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/georeferencedDate	http://rs.tdwg.org/dwc/terms/georeferencedDate	Georeferenced Date	timestamp	187	2015-05-06	2015-05-06	kenny	2015-05-06		georeferencedDate	publish	georeferencedDate	ethocore_term	http://rs.tdwg.org/dwc/terms/georeferencedDate	Location	The date on which the Location was georeferenced. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Darwin Core	Georeferenced Date		recommended	2015-05-06	2015-05-06	georeferencedDate-2015-05-06
georeferenceProtocol	Location	A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.	A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.	Examples: "Guide to Best Practices for Georeferencing" (Chapman and Wieczorek, eds. 2006), Global Biodiversity Information Facility.", "MaNIS/HerpNet/ORNIS Georeferencing Guidelines", "Georeferencing Quick Reference Guide"	Examples: "Guide to Best Practices for Georeferencing" (Chapman and Wieczorek, eds. 2006), Global Biodiversity Information Facility.", "MaNIS/HerpNet/ORNIS Georeferencing Guidelines", "Georeferencing Quick Reference Guide"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/georeferenceProtocol	http://rs.tdwg.org/dwc/terms/georeferenceProtocol	Georeference Protocol	string	188	2015-05-06	2015-05-06	kenny	2015-05-06		georeferenceProtocol	publish	georeferenceProtocol	ethocore_term	http://rs.tdwg.org/dwc/terms/georeferenceProtocol	Location	A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.	Examples: "Guide to Best Practices for Georeferencing" (Chapman and Wieczorek, eds. 2006), Global Biodiversity Information Facility.", "MaNIS/HerpNet/ORNIS Georeferencing Guidelines", "Georeferencing Quick Reference Guide"	Darwin Core	Georeference Protocol		recommended	2015-05-06	2015-05-06	georeferenceProtocol-2015-05-06
georeferenceRemarks	Location	Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.	Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.	Example: "assumed distance by road (Hwy. 101)"	Example: "assumed distance by road (Hwy. 101)"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/georeferenceRemarks	http://rs.tdwg.org/dwc/terms/georeferenceRemarks	Georeference Remarks	string	191	2015-05-06	2015-05-06	kenny	2015-05-06		georeferenceRemarks	publish	georeferenceRemarks	ethocore_term	http://rs.tdwg.org/dwc/terms/georeferenceRemarks	Location	Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.	Example: "assumed distance by road (Hwy. 101)"	Darwin Core	Georeference Remarks		recommended	2015-05-06	2015-05-06	georeferenceRemarks-2015-05-06
georeferenceSources	Location	A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources.	A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources.	Examples: "USGS 1:24000 Florence Montana Quad; Terrametrics 2008 on Google Earth"	Examples: "USGS 1:24000 Florence Montana Quad; Terrametrics 2008 on Google Earth"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/georeferenceSources	http://rs.tdwg.org/dwc/terms/georeferenceSources	Georeference Sources	string	189	2015-05-06	2015-05-06	kenny	2015-05-06		georeferenceSources	publish	georeferenceSources	ethocore_term	http://rs.tdwg.org/dwc/terms/georeferenceSources	Location	A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources.	Examples: "USGS 1:24000 Florence Montana Quad; Terrametrics 2008 on Google Earth"	Darwin Core	Georeference Sources		recommended	2015-05-06	2015-05-06	georeferenceSources-2015-05-06
georeferenceVerificationStatus	Location	A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.	A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.	Examples: "requires verification", "verified by collector", "verified by curator".	Examples: "requires verification", "verified by collector", "verified by curator".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus	http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus	Georeference Verification Status	string	190	2015-05-06	2015-05-06	kenny	2015-05-06		georeferenceVerificationStatus	publish	georeferenceVerificationStatus	ethocore_term	http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus	Location	A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.	Examples: "requires verification", "verified by collector", "verified by curator".	Darwin Core	Georeference Verification Status		recommended	2015-05-06	2015-05-06	georeferenceVerificationStatus-2015-05-06
higherGeography	Location	A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.	A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.	Example: "South America; Argentina; Patagonia; Parque Nacional Nahuel Huapi; Neuquén; Los Lagos" with accompanying values "South America" in Continent, "Argentina" in Country, "Neuquén" in StateProvince, and Los Lagos in County.	Example: "South America; Argentina; Patagonia; Parque Nacional Nahuel Huapi; Neuquén; Los Lagos" with accompanying values "South America" in Continent, "Argentina" in Country, "Neuquén" in StateProvince, and Los Lagos in County.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/higherGeography	http://rs.tdwg.org/dwc/terms/higherGeography	Higher Geography	string	146	2015-05-06	2015-05-06	kenny	2015-05-06		higherGeography	publish	higherGeography	ethocore_term	http://rs.tdwg.org/dwc/terms/higherGeography	Location	A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.	Example: "South America; Argentina; Patagonia; Parque Nacional Nahuel Huapi; Neuquén; Los Lagos" with accompanying values "South America" in Continent, "Argentina" in Country, "Neuquén" in StateProvince, and Los Lagos in County.	Darwin Core	Higher Geography		recommended	2015-05-06	2015-05-06	higherGeography-2015-05-06
higherGeographyID	Location	An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Example: "TGN: 1002002" for Prov. Tierra del Fuego, Argentina	Example: "TGN: 1002002" for Prov. Tierra del Fuego, Argentina			Getty Thesaurus of Geographic Names	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/higherGeographyID	http://rs.tdwg.org/dwc/terms/higherGeographyID	Higher Geography ID	URI, URL, DOI	145	2015-05-06	2015-05-06	kenny	2015-05-06		higherGeographyID	publish	higherGeographyID	ethocore_term	http://rs.tdwg.org/dwc/terms/higherGeographyID	Location	An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Example: "TGN: 1002002" for Prov. Tierra del Fuego, Argentina	Darwin Core	Higher Geography ID		recommended	2015-05-06	2015-05-06	higherGeographyID-2015-05-06
island	Location	The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Examples: "Isla Victoria", "Vancouver", "Viti Levu", "Zanzibar"	Examples: "Isla Victoria", "Vancouver", "Viti Levu", "Zanzibar"			Getty Thesaurus of Geographic Names	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/island	http://rs.tdwg.org/dwc/terms/island	Island	string	150	2015-05-06	2015-05-06	kenny	2015-05-06		island	publish	island	ethocore_term	http://rs.tdwg.org/dwc/terms/island	Location	The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Examples: "Isla Victoria", "Vancouver", "Viti Levu", "Zanzibar"	Darwin Core	Island		recommended	2015-05-06	2015-05-06	island-2015-05-06
islandGroup	Location	The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Examples: "Alexander Archipelago", "Seychelles"	Examples: "Alexander Archipelago", "Seychelles"			Getty Thesaurus of Geographic Names	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/islandGroup	http://rs.tdwg.org/dwc/terms/islandGroup	Island Group	string	149	2015-05-06	2015-05-06	kenny	2015-05-06		islandGroup	publish	islandGroup	ethocore_term	http://rs.tdwg.org/dwc/terms/islandGroup	Location	The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Examples: "Alexander Archipelago", "Seychelles"	Darwin Core	Island Group		recommended	2015-05-06	2015-05-06	islandGroup-2015-05-06
locality	Location	The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.	The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.	Example: "Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)"	Example: "Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/locality	http://rs.tdwg.org/dwc/terms/locality	Locality	string	156	2015-05-06	2015-05-06	kenny	2015-05-06		locality	publish	locality	ethocore_term	http://rs.tdwg.org/dwc/terms/locality	Location	The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.	Example: "Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)"	Darwin Core	Locality		recommended	2015-05-06	2015-05-06	locality-2015-05-06
locationAccordingTo	Location	Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.	Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.	Examples: "Getty Thesaurus of Geographic Names", "GADM"	Examples: "Getty Thesaurus of Geographic Names", "GADM"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/locationAccordingTo	http://rs.tdwg.org/dwc/terms/locationAccordingTo	Location According To	string	166	2015-05-06	2015-05-06	kenny	2015-05-06		locationAccordingTo	publish	locationAccordingTo	ethocore_term	http://rs.tdwg.org/dwc/terms/locationAccordingTo	Location	Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.	Examples: "Getty Thesaurus of Geographic Names", "GADM"	Darwin Core	Location According To		recommended	2015-05-06	2015-05-06	locationAccordingTo-2015-05-06
locationID	Location	An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.	An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.						recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/locationID	http://rs.tdwg.org/dwc/terms/locationID	Location ID	URI, URL, DOI	143	2015-05-06	2015-05-06	kenny	2015-05-06		locationID	publish	locationID	ethocore_term	http://rs.tdwg.org/dwc/terms/locationID	Location	An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.		Darwin Core	Location ID		recommended	2015-05-06	2015-05-06	locationID-2015-05-06
locationName	Location	The alias, colloquial, or shorthand name for the Location.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/locationName	Location Name	string	144	2015-05-06	2015-05-06	kenny	2015-05-06		locationName	publish	locationName	ethocore_term	http://ethoinformatics.org/ethocore/locationName	Location	The alias, colloquial, or shorthand name for the Location.		Ethogrammar	Location Name		recommended	2015-05-06	2015-05-06	locationName-2015-05-06
locationRemarks	Location	Comments or notes about the Location.	Comments or notes about the Location.	Example: "under water since 2005"	Example: "under water since 2005"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/locationRemarks	http://rs.tdwg.org/dwc/terms/locationRemarks	Location Remarks	string	167	2015-05-06	2015-05-06	kenny	2015-05-06		locationRemarks	publish	locationRemarks	ethocore_term	http://rs.tdwg.org/dwc/terms/locationRemarks	Location	Comments or notes about the Location.	Example: "under water since 2005"	Darwin Core	Location Remarks		recommended	2015-05-06	2015-05-06	locationRemarks-2015-05-06
maximumElevationInMeters	Location	The upper limit of the range of elevation (altitude, usually above sea level), in meters.	The upper limit of the range of elevation (altitude, usually above sea level), in meters.	Example: "200"	Example: "200"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/maximumElevationInMeters	http://rs.tdwg.org/dwc/terms/maximumElevationInMeters	Maximum Elevation In Meters	number	159	2015-05-06	2015-05-06	kenny	2015-05-06		maximumElevationInMeters	publish	maximumElevationInMeters	ethocore_term	http://rs.tdwg.org/dwc/terms/maximumElevationInMeters	Location	The upper limit of the range of elevation (altitude, usually above sea level), in meters.	Example: "200"	Darwin Core	Maximum Elevation In Meters		recommended	2015-05-06	2015-05-06	maximumElevationInMeters-2015-05-06
minimumElevationInMeters	Location	The lower limit of the range of elevation (altitude, usually above sea level), in meters.	The lower limit of the range of elevation (altitude, usually above sea level), in meters.	Example: "100"	Example: "100"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/minimumElevationInMeters	http://rs.tdwg.org/dwc/terms/minimumElevationInMeters	Minimum Elevation In Meters	number	158	2015-05-06	2015-05-06	kenny	2015-05-06		minimumElevationInMeters	publish	minimumElevationInMeters	ethocore_term	http://rs.tdwg.org/dwc/terms/minimumElevationInMeters	Location	The lower limit of the range of elevation (altitude, usually above sea level), in meters.	Example: "100"	Darwin Core	Minimum Elevation In Meters		recommended	2015-05-06	2015-05-06	minimumElevationInMeters-2015-05-06
municipality	Location	The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.	The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.	Examples: "Holzminden"	Examples: "Holzminden"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/municipality	http://rs.tdwg.org/dwc/terms/municipality	Municipality	string	155	2015-05-06	2015-05-06	kenny	2015-05-06		municipality	publish	municipality	ethocore_term	http://rs.tdwg.org/dwc/terms/municipality	Location	The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.	Examples: "Holzminden"	Darwin Core	Municipality		recommended	2015-05-06	2015-05-06	municipality-2015-05-06
nmeaSentence	Location	The NMEA sentence associated with the Location. The value should be expressed as a full NMEA sentence with the encoding (e.g., NMEA 0183) specified.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/nmeaSentence	Nmea Sentence	string	185	2015-05-06	2015-05-06	kenny	2015-05-06		nmeaSentence	publish	nmeaSentence	ethocore_term	http://ethoinformatics.org/ethocore/nmeaSentence	Location	The NMEA sentence associated with the Location. The value should be expressed as a full NMEA sentence with the encoding (e.g., NMEA 0183) specified.		Ethogrammar	Nmea Sentence		recommended	2015-05-06	2015-05-06	nmeaSentence-2015-05-06
